"ward_no","gender","age","ethnicity","mother_tongue","religion","education","economically_active","marital_status","disability_type","health_status","disease_name"
"ward_6","female","36","पहाडी जनजाती","नेवारी","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","27","पहाडी जनजाती","नेवारी","हिन्दू","माध्यमिक तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","0","पहाडी जनजाती","नेवारी","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","68","पहाडी जनजाती","नेवारी","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","68","पहाडी जनजाती","नेवारी","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","43","पहाडी जनजाती","नेवारी","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","36","पहाडी जनजाती","नेवारी","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","39","पहाडी जनजाती","नेवारी","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","34","पहाडी जनजाती","नेवारी","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","33","पहाडी जनजाती","तामाङ्ग","बौद्ध","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","34","पहाडी जनजाती","तामाङ्ग","बौद्ध","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","5","पहाडी जनजाती","तामाङ्ग","बौद्ध",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","2","पहाडी जनजाती","तामाङ्ग","बौद्ध",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_9","male","72","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_9","female","69","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","13. Asthma"
